company,website,industry,fit_score,likely_need,target_role,signal,source_url
Storyteller,https://www.getstoryteller.com,Media SaaS,8,Need pipeline creation for North America,Head of Sales,"Hiring SDR focused on pipeline creation, qualification, and outbound into North America; tracks pipeline in HubSpot",https://www.getstoryteller.com/careers/sales-development-representative
Progress ShareFile,https://www.progress.com,Document collaboration SaaS,9,Need outbound process efficiency,VP Sales Development,"BDR role explicitly requires outbound pipeline creation using ZoomInfo, SalesLoft, Salesforce, and LinkedIn",https://www.progress.com/company/careers/open-positions/business-development-representative-oqlbzfwf
Cloudvisor,https://cloudvisor.co,Cloud consulting,9,Already using outbound tools and likely needs workflow leverage,Head of Growth,"SDR role includes outbound campaigns, targeted prospect lists, and workflows using email and LinkedIn",https://cloudvisor.co/careers/sales-development-representative/
TSL Marketing,https://www.tslmarketing.com,B2B marketing services,8,Sells pipeline growth and lead nurturing itself,Sales Director,"Senior SDR role emphasizes outbound prospecting, pipeline health, lead generation targets, and marketing automation",https://www.tslmarketing.com/careers/sales-development-representative
Direct Software,https://directsoftware.com,Vertical SaaS,8,Needs healthier pipeline and prospecting efficiency,VP Sales,"Account Executive role is responsible for prospecting new customers, maintaining healthy pipeline, and growing revenue",https://directsoftware.com/jobs/account-executive
Redgate,https://www.red-gate.com,DevOps and database software,7,Needs high-quality sales opportunities for AMER/EMEA,Sales Development Manager,"BDR role focused on generating high-quality opportunities and driving early sales pipeline",https://www.red-gate.com/our-company/careers/current-opportunities/business-development-representative/
BMC Software,https://www.bmc.com,Enterprise software,7,Needs scalable target-account outreach,Digital Sales Leader,"BDR role highlights territory strategy, identifying target accounts, and inventive outreach to decision makers",https://jobs.bmc.com/oldcareersportal/JobDetail/Business-Development-Representative-USA/43980
Velvetech,https://www.velvetech.com,Software development services,8,Needs segmented lists and nurture workflows,Head of Business Development,"BDR role calls for segmented contact lists, prospect nurturing, and multi-channel communication",https://www.velvetech.com/careers/business-development-representative/
Pigment,https://www.gopigment.com,Enterprise planning SaaS,8,Needs consistent outbound execution for North America growth,Head of Business Development,"San Francisco BDR role is focused on pipeline growth and business development for a fast-growing AI planning platform",https://jobs.lever.co/pigment/c703af33-8b7d-4980-b550-4a2bdeba92b3
Resilinc,https://www.resilinc.com,Supply chain AI SaaS,9,Needs targeted enterprise outreach into procurement and operations leaders,VP Business Development,"US remote BDR role emphasizes targeted outreach, meaningful conversations, and opening new opportunities for enterprise buyers",https://jobs.lever.co/resilinc/2c538bd0-5215-4898-88ee-2959b8808f90
WorkOS,https://workos.com,Developer infrastructure SaaS,9,Needs outbound account research and enterprise prospecting,Sales Development Manager,"Outbound-focused BDR role explicitly centers on research, strategic engagement, and generating new enterprise opportunities",https://jobs.lever.co/workos/5ef61e0a-caa4-4250-8184-a44345ebbb37
HighLevel,https://www.gohighlevel.com,Marketing and CRM platform,8,Already sells lead capture and nurturing so speed-to-pipeline matters,Revenue Operations Lead,"US BDR role at HighLevel supports revenue growth for a large sales and marketing platform",https://jobs.lever.co/gohighlevel/40d4aaab-383a-4990-99b9-d050d3f10630
Docsumo,https://docsumo.com,Document AI SaaS,8,Needs hunter-style outbound to find net-new demand,Head of Sales,"BDR role describes a strategic hunter responsible for identifying and engaging net-new B2B SaaS prospects",https://jobs.lever.co/docsumo/86ae527d-d86f-4f40-9f7d-192587b9779a
